datetime,open,high,low,close,rsi,ema_9,ema_21,macd_line,target
2024-01-03 01:00:00,2060.13989,2062.61011,2059.63989,2062.46997,46.53431982231111,2061.7849612750983,2064.079983374853,-1.9384319590003543,1
2024-01-03 02:00:00,2062.63989,2065.21997,2061.65991,2064.76001,52.071399349942865,2062.3799710200788,2064.141803977139,-1.6190567482844926,1
2024-01-03 03:00:00,2064.73999,2065.65991,2063.42993,2065.15991,53.01551663170271,2062.9359588160632,2064.234359070126,-1.3184823609908563,0
2024-01-03 04:00:00,2065.070068,2065.63989,2064.51001,2064.92993,52.35649762391472,2063.334753052851,2064.297592791024,-1.0863101503077814,0
2024-01-03 05:00:00,2064.90991,2066.01001,2063.57007,2064.13989,49.98485169540998,2063.495780442281,2064.283256173658,-0.9550523766924925,1
2024-01-03 06:00:00,2064.13989,2065.48999,2063.53003,2064.36011,50.67683461403689,2063.668646353825,2064.2902428851435,-0.8237638944956416,0
2024-01-03 07:00:00,2064.26001,2064.32007,2061.030029,2063.01001,46.31212650321931,2063.53691908306,2064.173858077403,-0.8192152102164982,0
2024-01-03 08:00:00,2063.050049,2064.36011,2059.030029,2060.090088,38.37055258179455,2062.847552866448,2063.8026062521844,-1.0392438910776036,0
2024-01-03 09:00:00,2060.050049,2060.65991,2054.38989,2056.88989,31.742119553400542,2061.6560202931587,2063.174177501986,-1.4550742491192068,0
2024-01-03 10:00:00,2056.80005,2057.19995,2052.73999,2054.96997,28.464353743068443,2060.318810234527,2062.4283404563507,-1.9174412333495638,0
2024-01-03 11:00:00,2054.94995,2055.71997,2046.83997,2047.54004,19.711903615781523,2057.7630561876217,2061.074858596682,-2.8505443550875498,0
2024-01-03 12:00:00,2047.64001,2048.38989,2041.87,2045.76001,18.2205206138793,2055.3624469500974,2059.6825996333473,-3.6911199136561663,0
2024-01-03 13:00:00,2045.79004,2047.98999,2038.87,2041.079956,14.922314180990512,2052.505948760078,2057.9914502121337,-4.6809641044014825,0
2024-01-03 14:00:00,2041.14001,2042.37,2031.93005,2037.96997,13.163022901972099,2049.5987530080624,2056.1713156473943,-5.6512287882687815,0
2024-01-03 15:00:00,2038.030029,2048.76001,2031.95996,2032.59998,10.734893426238358,2046.19899840645,2054.0284669521766,-6.775381474623373,0
2024-01-03 16:00:00,2033.01001,2036.040039,2031.48999,2032.48999,10.690015605553896,2043.4571967251602,2052.070423592888,-7.5876896878683056,1
2024-01-03 17:00:00,2032.60999,2033.78003,2030.80005,2033.41003,14.030351723784875,2041.4477633801282,2050.3740241753526,-8.064250599238676,1
2024-01-03 18:00:00,2033.51001,2036.37,2033.01001,2035.93005,22.81597082825813,2040.3442207041026,2049.0609356139566,-8.144697004451928,1
2024-01-03 19:00:00,2035.96997,2042.23999,2030.73999,2036.76001,25.598375562451707,2039.6273785632823,2047.9426696490516,-8.04870011959656,1
2024-01-03 20:00:00,2036.78003,2042.37,2036.63,2040.81006,37.763082380715176,2039.8639148506259,2047.2942505900469,-7.558684895056558,1
2024-01-03 21:00:00,2041.18994,2041.83997,2040.39001,2041.44995,39.499602757645164,2040.1811218805008,2046.7629505364062,-7.037585617766581,1
2024-01-03 23:00:00,2042.35999,2043.98999,2041.80005,2043.050049,43.852340369144684,2040.7549073044006,2046.4254140330963,-6.421473322251586,0
2024-01-04 00:00:00,2043.040039,2043.23999,2041.63,2042.23999,42.14667108701906,2041.0519238435206,2046.0449209391786,-5.930205166822361,1
2024-01-04 01:00:00,2042.20996,2043.32996,2040.20996,2042.33997,42.45362557701779,2041.3095330748167,2045.7081072174349,-5.469752165653517,1
2024-01-04 02:00:00,2042.38,2044.80005,2042.37,2044.60999,49.24694268178,2041.9696244598535,2045.6082783794861,-4.865580815271414,1
2024-01-04 03:00:00,2044.68994,2046.90002,2044.18994,2044.68994,49.480326494561396,2042.5136875678832,2045.52479307226,-4.330401200980305,0
2024-01-04 04:00:00,2044.59998,2044.73999,2042.53003,2043.18994,45.15203835798224,2042.6489380543067,2045.3125337020545,-3.9814097515959475,1
2024-01-04 05:00:00,2043.17004,2044.41003,2042.48999,2043.84998,47.40157382281749,2042.8891464434455,2045.1795742745949,-3.6099584479291025,1
2024-01-04 06:00:00,2043.85999,2048.63989,2043.73999,2047.31006,57.54405554517931,2043.7733291547565,2045.3732547950863,-3.001778441375791,1
2024-01-04 07:00:00,2047.26001,2049.57007,2046.57996,2047.70996,58.56996616764247,2044.5606553238053,2045.5856825409874,-2.4591749782202896,0
2024-01-04 08:00:00,2047.76001,2048.61011,2045.51001,2046.85999,55.40802782979647,2045.0205222590444,2045.7015286736248,-2.0738373933752428,1
2024-01-04 09:00:00,2046.84998,2051.050049,2046.40002,2048.01001,58.75540573544293,2045.6184198072356,2045.9113906123862,-1.656561765438255,1
2024-01-04 10:00:00,2048.070068,2050.82007,2046.70996,2048.030029,58.815202746194096,2046.1007416457885,2046.1039941021693,-1.309161261892541,0
2024-01-04 11:00:00,2048.01001,2048.48999,2044.96997,2045.20996,47.936979857527334,2045.9225853166308,2046.0227182746992,-1.2470249327682268,1
2024-01-04 12:00:00,2045.15002,2046.21997,2043.40002,2046.030029,50.872857869974574,2045.9440740533048,2046.02338288609,-1.1187129035938597,0
2024-01-04 13:00:00,2046.089966,2047.31995,2038.91003,2040.26001,35.307478980382584,2044.807261242644,2045.4994398964454,-1.4657210869634127,0
2024-01-04 14:00:00,2040.38,2042.60999,2036.31995,2039.43994,33.68013787744738,2043.7337969941152,2044.9485762694958,-1.7863089105496783,1
2024-01-04 15:00:00,2039.43994,2047.68994,2039.15002,2045.10999,51.022314271589,2044.0090355952923,2044.9632502449963,-1.5648132291935326,0
2024-01-04 16:00:00,2045.17004,2046.81006,2044.23999,2044.82996,50.30052951837213,2044.1732204762338,2044.9511329499965,-1.3957826728126292,0
2024-01-04 17:00:00,2044.82996,2045.12,2040.93005,2043.31006,46.346562655063465,2044.0005883809872,2044.8019444999968,-1.3686905540205316,0
2024-01-04 18:00:00,2043.19995,2044.040039,2041.64001,2043.23999,46.160693473734014,2043.8484687047899,2044.6599486363607,-1.3374565515023278,1
2024-01-04 19:00:00,2043.21997,2044.93994,2042.56006,2044.42004,49.918971283725696,2043.962782963832,2044.6381387603278,-1.2036087540707285,0
2024-01-04 20:00:00,2044.53003,2044.91003,2043.13,2043.26001,46.38250195279379,2043.8222283710659,2044.5128543275707,-1.1775639127315571,1
2024-01-04 21:00:00,2043.28003,2044.40002,2043.16003,2043.42004,46.95848521407443,2043.7417906968528,2044.413507570519,-1.13097295256307,1
